"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","landing_aircraft_type","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","landing_count","total_landed_weight"
200812,"SkyWest Airlines","OO","Delta Air Lines","DL","Domestic","US","Passenger","Regional Jet","Bombardier","CRJ","700",7,469000
200812,"SkyWest Airlines","OO","United Airlines - Pre 07/01/2013","UA","International","Canada","Passenger","Regional Jet","Bombardier","CRJ","600",223,14941000
200812,"SkyWest Airlines","OO","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Regional Jet","Bombardier","CRJ","600",266,17822000
200812,"SkyWest Airlines","OO","Delta Air Lines","DL","Domestic","US","Passenger","Regional Jet","Bombardier","CL600","2C10",45,2115000
200812,"SkyWest Airlines","OO","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Regional Jet","Bombardier","CL600","2B19",859,40373000
200812,"Singapore Airlines","SQ","Singapore Airlines","SQ","International","Asia","Passenger","Wide Body","Boeing","777","300ER",31,17137978
200812,"Singapore Airlines","SQ","Singapore Airlines","SQ","International","Asia","Passenger","Wide Body","Boeing","747","400",31,19530000
200812,"Qantas Airways","QF","Qantas Airways","QF","International","Australia / Oceania","Passenger","Wide Body","Boeing","747","400ER",10,6370000
200812,"Qantas Airways","QF","Qantas Airways","QF","International","Australia / Oceania","Passenger","Wide Body","Boeing","747","400",12,7780000
200812,"Philippine Airlines","PR","Philippine Airlines","PR","International","Asia","Passenger","Wide Body","Airbus","A340","300",7,2932118
200812,"Philippine Airlines","PR","Philippine Airlines","PR","International","Asia","Passenger","Wide Body","Boeing","747","400",26,16380000
